,href,点赞用户数,评分,参与评分人数,热度,总计评论数,演员,信息,剧情
213,http://www.iqiyi.com/v_19rrb86rww.html,2599,6.2,26.8万人评分,1239,全部评论(3906),吴志雄;何华超;梁山山;田小野,友情岁月2之只手遮天;导演： 黄玮伦;地区： 华语;类型： 犯罪;首映： 2017,简介：江湖纷争，情义何存。吴皓超（阿超），yours集团董事长，在经历田叔事件后，他越发的成熟，专注于事业的他知道只有自己不断的变强，才可以保护自己所珍惜的人和事。时间不断流逝，也迎来了b哥的出狱之日，此时的他心境祥和，唯一迫切的就是，回家。在经历了牢狱之苦后，他似乎明白了生活的意义，没有什么比亲情更重要的，现在的他把家人放在了第一位，打打杀杀的日子似乎已经被岁月披上了遮光布，...收起>
214,http://www.iqiyi.com/v_19rr5eoxww.html,6.6万,8.9,88.3万人评分,2223,全部评论(6488),琳达·卡德里尼饰 Dolores;维果·莫腾森饰 Tony Lip;马赫莎拉哈什巴兹·阿里饰 Don Shirley;塞巴斯蒂安·马尼斯科饰 Johnny Venere;迈克·哈顿饰 George Dyer,绿皮书;导演： 彼得·法拉利;地区： 美国;类型： 喜剧;首映： 2019,简介：托尼是一个吊儿郎当游手好闲的混混，在一家夜总会做侍者。这间夜总会因故要停业几个月，可托尼所要支付的房租和生活费不会因此取消，所以他的当务之急是去寻找另一份工作来填补这几个月的空缺。在这个节骨眼上，一位名叫唐雪莉的黑人钢琴家提出雇佣托尼。唐雪莉即将开始为期八个月的南下巡回演出，可是，那个时候南方对黑人的歧视非常的严重，于是托尼便成为了唐雪莉的司机兼保镖。一路上，两人迥异...收起>
215,http://www.iqiyi.com/v_19rrjwwhik.html,1.9万,9.1,104.5万人评分,2836,全部评论(5052),徐峥饰 徐朗;王宝强饰 王宝;黄渤饰 高博;陶虹饰 安安;范冰冰饰 范冰冰,人再囧途之泰囧;导演： 徐峥;地区： 华语;类型： 喜剧;首映： 2012,简介：商业人士徐朗用了五年时间发明了一种叫油霸的神奇产品。徐朗的同学兼竞争对手高博想把这个发明一次性卖给法国人。但徐朗坚决不同意。由于两人股份相同，唯有得到公司最大股东周扬的授权书，方可达到各自目的。当得知周扬在泰国后，徐朗立刻启程寻找。而高博获悉后将一枚跟踪器放在徐朗身上一起去了泰国。飞机上，徐朗遇到了王宝，别有心机地想利用他来摆脱对手高博的追赶，可他不仅没甩掉王宝，还成...收起>
216,http://www.iqiyi.com/v_19rqzumia0.html,4129,5.4,2.4万人评分,5662,全部评论(1085),Ian Ziering饰 Fin;塔拉·雷德饰 April;贾达·弗雷德兰德饰 Bryan,鲨卷风6;导演： Anthony C. Ferrante;地区： 美国;类型： 恐怖;首映： 2018,简介：着名烂片系列的最终章《最后的鲨卷风TheLastSharknado:It'sAboutTime》将在8月19日播出，片中地球已经被摧毁，因此Fin得时间穿梭至第一起鲨卷风事件，从根源阻止这群会飞的鲨鱼。收起>
217,http://www.iqiyi.com/v_19rqy2q8tc.html,7118,6.3,22.5万人评分,877,全部评论(2200),刘道玄饰 花易天;赵杰 (台湾演员)饰 慕长风;张璐瑶饰 唐婉云;时晓飞饰 藤川,斗墓占花魁;导演： 西岛;地区： 华语;类型： 动作;首映： 2018,简介：清末民初，日本人藤川瞄上了南灵镇的皇墓，试图盗取皇墓中的宝物“九龙镇灵玺”。南灵镇花家世代守护宝藏，目前的当家是花儿爷花易天，恰逢“花魁十年庆”召开在即，花易天的青梅竹马唐婉云便是此次的“大花魁”，藤川意外发现唐婉云身上藏有能打开皇墓的宝图，便趁机绑架了唐婉云，花易天与好兄弟慕长风既要救下唐婉云，又要保护国家宝藏不被日寇盗取，二人兄弟齐心，在最后关头痛下决心摧毁了“...收起>
218,http://www.iqiyi.com/v_19rrjbby4c.html,1.0万,8.1,12.7万人评分,2265,全部评论(521),河智苑饰 姜妍熙;薛景求饰 万植;严正花饰 维珍;朴重勋饰 金辉;李民基饰 亨植,海云台;导演： 尹齐均;地区： 韩国;类型： 惊悚;首映： 2009,简介：04年印尼海啸中，船长万植的失误导致了妍熙父亲的死，他内心怀有深深地自责，并无微不至地照顾这个邻家妹妹，慢慢地两人暗生情愫。万植的弟弟亨植是海上救生员，他在一次行动中，认识了富家小姐金希美，两人在阴差阳错的交往中，闹出了不少误会。维珍推动海云台成为世博会旅游观光点的大使，她和前夫——国际海洋研究所地质专家金辉育有一女，但她现已另觅爱人。收起>
219,http://www.iqiyi.com/v_19rr7q22o4.html,8.6万,7.6,76.9万人评分,2408,全部评论(6.9万),刘亦菲饰 白浅/司音/素素;杨洋饰 夜华/墨渊;罗晋饰 折颜;严屹宽饰 擎苍;李纯饰 素锦,三生三世十里桃花;导演： 赵小丁 / 安东尼·拉默里纳拉;地区： 华语;类型： 奇幻;首映： 2017,简介：天族战神墨渊镇压鬼君擎苍于无妄海，魂飞魄散，仙体冰封于青丘炎华洞内。青丘帝姬白浅同天族太子夜华早有婚约，二人却一直未曾相见。直至东海盛宴，夜华发现白浅竟然同亡妻素素相貌一样，就势住进白浅的青丘，放下太子身段，为求解开白浅与素素之谜。夜华侧妃素锦生妒，暗中协助鬼族王后玄女抢走墨渊仙体。白浅一怒之下血战鬼族大紫明宫，身负重伤，终被夜华救下。白浅跟随夜华来到九重天，通过天族...收起>
220,http://www.iqiyi.com/v_19rrifktby.html,7937,9.0,65.4万人评分,2139,全部评论(4088),詹姆斯·弗兰科饰 Will Rodman;芙蕾达·平托饰 Caroline Aranha;安迪·瑟金斯饰 Caesar,猩球崛起;导演： 鲁伯特·瓦耶特;地区： 美国;类型： 动作;首映： 2011,简介：基因科学家威尔饲养了一只聪明的猩猩凯撒。威尔为了治疗父亲的阿兹海默症，研发新药，一直在对凯撒进行基因实验和研究。但新药增长了凯撒的智慧。在一次误伤人类之后，凯撒被迫送进了猩猩看护所。在那里他受到了虐待，继而开始对人类产生敌意。高智慧的凯撒逃离了看护所，也救走了被囚禁的其它猩猩。一场不得不与人类对立的战争即将开始，浩劫的最后胜负，将决定世界生存的未来收起>
221,http://www.iqiyi.com/v_19rrfawxu0.html,1.1万,8.7,48.7万人评分,1763,全部评论(6441),道恩·强森饰 威尔·索耶;黄经汉饰 赵明智,摩天营救;导演： 罗森·马歇尔·瑟伯;地区： 美国;类型： 动作;首映： 2018,简介：在香港市中心，世界上最高、结构最复杂的摩天大楼遭到破坏，危机一触即发。威尔·索耶的妻子萨拉和孩子们在98层被劫为人质，直接暴露在火线上。威尔，这位战争英雄、前联邦调查局救援队员，作为大楼的安保顾问，却被诬陷纵火和谋杀。他必须奋力营救家人，为自己洗脱罪名，关乎生死存亡的高空任务就此展开。收起>
222,http://www.iqiyi.com/v_19rrgygumk.html,1.8万,8.2,23.1万人评分,1106,全部评论(4038),金星,金星小姐;导演： 张元;地区： 华语;类型： 青春;首映： 2000,简介：1993年金星在北京的某医院要准备进行变性手术，国内首例变性人，导演张元带着他的摄影团队，用35毫米黑白胶片记录他变性的全过程，并对金星进行了深入的采访。相隔7年后，在上海张元继续拍摄了已经成为女人的金星的生活。影片由四个故事构成，爱情、梦境、性、生活。该片在韩国全州国际电影节作为开幕式电影。收起>
223,http://www.iqiyi.com/v_19rrn8wsr0.html,2.8万,8.7,32.6万人评分,1810,全部评论(1764),贾斯汀·汀布莱克饰 Will Salas;阿曼达·塞弗里德饰 Sylvia Weis;奥利维亚·王尔德饰 Rachel Salas,时间规划局;导演： 安德鲁·尼科尔;地区： 美国;类型： 动作;首映： 2011,简介：在未来，人类可以随心所欲的操控时间，改写年龄。在人类社会，不管这个人活多久，他的年龄被永远定格在25岁。因为没有了自然死亡，为了避免人口膨胀。人类社会抛弃了以往的货币，改用时间作为货币流通。一个人的时间用完之后，这个人就会死亡。一个名叫威尔的穷人，却意外获得了一笔巨大的财富，拥有了用不完的时间。但是却因为此事被锁定为一场谋杀案的嫌疑人，由此走上了逃亡之路。在逃亡过程中，...收起>
224,http://www.iqiyi.com/v_19rr9tql50.html,7.1万,8.5,246.2万人评分,2377,全部评论(1.5万),肖央饰 肖瀚;闫妮饰 马丽莲;小沈阳饰 刘磊;乔杉饰 汤怀;艾伦（开心麻花）饰 艾木,情圣;导演： 宋晓飞 / 董旭;地区： 华语;类型： 喜剧;首映： 2016,简介：好友突然离世，令生活安稳的肖瀚（肖央饰演）开始唏嘘人生苦短。柳下惠自居的他，因为偶然邂逅性感美女模特yoyo（克拉拉Clara饰演），重新找回了心跳的感觉，遂欲借工作之便亲近女神，再尝试一遍初恋的刺激。然而，肖瀚的几次示好，不是因伴侣沈红（代乐乐饰演）的警觉而作罢，就是因顶头上司马丽莲（闫妮饰演）的误会而被迫中断，各种阴差阳错笑料不断。洋相频出的肖瀚左右为难又心有不甘，只好求...收起>
225,http://www.iqiyi.com/v_19rrbrzq7k.html,29,5.6,549人评分,338,全部评论(15),区文诗,无人驾驶（2000）;导演： 刘国昌;地区： 华语;类型： 青春;首映： 2000,简介：屯门，一个发展了十多年的偏远新市镇。这个故事从屯门出发，沿途看四周出轨少女。饼，一个十三的少女，发现自己怀了男友细荣的孩子，但细荣自从去油尖旺卖翻版VCD后便失去了音讯，生在破碎家庭的饼只有她的朋友诗诗，蕉和腐乳相依为靠。这四位少女听不惯大人的唠叨，也不愿服从学校的纪律，宁愿整天在外消磨时间，她们大多时间都在购物，唱卡拉OK和闲聊上。四女对爱情充满了憧憬和诱惑。除了饼被男...收起>
226,http://www.iqiyi.com/v_19rrk40ajc.html,2.2万,9.3,211.6万人评分,2379,全部评论(1.4万),周星驰饰 Sing;黄圣依饰 Fong;元华饰 Landlord;梁小龙饰 The Beast;冯小刚饰 Crocodile Gang Boss,功夫;导演： 周星驰;地区： 华语;类型： 动作;首映： 2004,简介：1940年代的上海，自小受尽欺辱的街头混混阿星为了能出人头地，可谓窥见机会的缝隙就往里钻，今次他盯上行动日益猖獗的黑道势力“斧头帮”，想借之大名成就大业。阿星假冒“斧头帮”成员试图在一个叫“猪笼城寨”的地方对居民敲诈，不想引来真的“斧头帮”与“猪笼城寨”居民的恩怨。“猪笼城寨”原是藏龙卧虎之处，居民中有许多身怀绝技者．他们隐藏于此本是为远离江湖恩怨，不想麻烦自动上身，躲都...收起>
227,http://www.iqiyi.com/v_19rrift7r8.html,3419,8.1,4.4万人评分,1328,全部评论(413),金·凯瑞,海底世界3D;导演： 豪沃得·豪尔;地区： 美国;首映： 2009,简介：首部IMAX海下立体电影，为拍摄此片，水下摄影师携带重达近4吨的专用装备，下潜到了南澳大利亚和巴布亚新几内亚以及印度洋海域，历时110天、潜水350小时，首次成功采用IMAX3D摄影机在水下进行冒险拍摄。3D的视觉效果让观众与地球上最独特、最危险、最色彩斑斓的生物零距离接触，体验一次难得的深海旅行。收起>
228,http://www.iqiyi.com/v_19rrccxdwc.html,3.7万,7.6,28.4万人评分,4347,全部评论(5745),甄子丹饰 肥龙;毛舜筠饰 绝代芳华;周丽淇饰 可儿;王晶饰 潇洒哥;林秋楠,肥龙过江;导演： 谷垣健治;地区： 香港地区;类型： 犯罪;首映： 2020,简介：港警察朱福龙(甄子丹饰)因一次工作失误惨被降级，万般无奈之际又遭未婚妻可儿(周励淇饰)悔婚，事业爱情的双重打击令他一蹶不振，暴饮暴食六个月后体重猛增到200斤!上司黄警官不忍其继续堕落，委派朱福龙前往日本押送一名犯人，并承诺只要完成任务就可以为他恢复职位。可惜来到日本，倒霉的事件便接连在他身上发生，不仅财物尽失，连犯人也在押送途中逃脱了。幸好得到前香港警察潇洒哥(王晶饰)的...收起>
229,http://www.iqiyi.com/v_19rwcvcrf8.html,7872,8.0,10.7万人评分,2595,全部评论(1303),刘智扬饰 王晓石;赵亮饰 郑金柱,我来自北京之扶兄弟一把;导演： 柏杉;地区： 华语;类型： 青春;首映： 2020,简介：大美的贵州黔西南地区，带着养蜂技术反哺家乡的大学毕业生王晓石（刘智扬饰），和有着丰富基层扶贫经验的村长郑金柱（赵亮饰），在扶贫工作中成为一对老少搭档。实际工作中，王晓石因缺乏经验遭到郑金柱的奚落。王晓石意外与错失的女神郑玉娟重逢。虽然在村里推广养蜂计划屡屡碰壁，为了证明自己，王晓石主动接受了郑金柱提出的考验，帮助三位贫困钉子户脱贫致富。孤寡怪僻的荣奶奶、酗酒成性的刘...收起>
230,http://www.iqiyi.com/v_19rr7hrhrc.html,2970,8.2,1.9万人评分,1290,全部评论(344),马特·达蒙饰 Miller;格雷戈·金尼尔饰 Clark Poundstone;布莱丹·格里森饰 Martin Brown;Yigal Naor饰 General Al Rawi (as Igal Naor),绿区;导演： 保罗·格林格拉斯;地区： 美国;类型： 惊悚;首映： 2010,简介：2003年，伊拉克战争爆发。萨达姆政府受到重创，大规模杀伤性武器（WMD）成为美国出兵伊拉克的有力借口。罗伊·米勒所率领的小分队奉命在伊拉克境内寻找WMD，然而无数次的搜寻皆无所获，这令米勒对线报的来源心生疑惑。某次行动中，他遇到当地的独腿男子法哈迪，从对方口中米勒得知一众伊拉克关键人物正在某地集会，行动中意外发现扑克牌通缉令上的艾尔·拉威也在其中，而艾尔·拉威似乎和美国政府有着...收起>
231,http://www.iqiyi.com/v_19rrlq5w00.html,66.0万,8.9,292.7万人评分,2884,全部评论(7.1万),邓超饰 轩少;罗志祥饰 八爪鱼;张雨绮饰 李若兰;林允饰 人鱼珊珊;徐克饰 四爷,美人鱼;导演： 周星驰;地区： 华语;类型： 科幻;首映： 2016,简介：白手起家的富豪刘轩新拍下了一块地皮，并联合了女强人李若兰使用恐怖的声纳技术驱赶鱼类，用于填海造地。人鱼一族长期居住在附近区域的海里，为了继续生存，带头大哥章鱼八哥派出了美人鱼珊珊“色诱”刘轩，准备刺杀。没想到珊珊在卧底过程中与刘轩暗生情愫，一次次破坏暗杀计划，而李若兰却在准备一个更丧心病狂的邪恶计划…收起>
232,http://www.iqiyi.com/v_19rrj6sgbs.html,1.3万,9.2,67万人评分,3118,全部评论(1443),甄子丹饰 叶问;任达华饰 周清泉;熊黛林饰 张永成;樊少皇饰 金山找;林家栋饰 李钊,叶问;导演： 叶伟信;地区： 香港地区;类型： 动作;首映： 2008,简介：一九三零年代，中国武术之都的佛山，武风顶盛，各门各派为广纳门徒，经常集体比斗以显实力。叶问(甄子丹饰)习得一身武艺但为人低调，故未有设馆授徒，只待在家中与友人闭门切磋、钻研武术。以金山找(樊少皇饰)为首的北方武师，为了在佛山扬名立万，遂狠狠挫下各派馆主……收起>
233,http://www.iqiyi.com/v_19rrn9b0pw.html,82,6.9,320人评分,459,全部评论(4),Lara Cazalet饰 Hilary Glendinning;Matthew Cureton饰 History of Art Secretary;Noel Fitzpatrick饰 Inspector Beckett;James Fletcher饰 Waiter;克里斯托弗·福什饰 Probyn,陷害;导演： Jon Kirby;地区： 欧洲;类型： 爱情;首映： 2008,简介：讲述了一个年轻的美国女人，是牛津大学的学者。她对描写犯罪小说极其着迷，想象自己是个魅力难当的蛇蝎美人。当她描写的角色开始出现在生活中，她的世界开始改变，同时她因为一系列谋杀而被逮捕。伦敦与牛津，现实与虚幻，她开始质疑每个人，以及身边的每件事。收起>
234,http://www.iqiyi.com/v_19rr0wl4ig.html,6090,7.0,23.7万人评分,1210,全部评论(2357),马倩倩饰 小九;张竞达饰 拓跋羽;王昭饰 重阳;朱利安饰 洛染夕,妖狐传;导演： 沈金飞;地区： 华语;类型： 惊悚;首映： 2018,简介：神都战神拓跋羽从边塞带回一个九霄灵狐，关押在府内。此后神都屡屡出现死者诡异的奇案。死者均是神都极美的女子。为了平息此事，拓跋羽悬赏千两召集破案能人，降魔师主动请缨，并大胆质疑此事是妖所为，整个神都震惊。降魔师的出现加上战神拓跋羽的追查使得悬案的真相逐渐浮出水面。原来被战神带回的女子真是九尾狐妖，但神都城内连环凶杀案的凶手却另有其人，随着受害者越来越多，侦破案件迫在眉...收起>
235,http://www.iqiyi.com/v_19rrm7q6d8.html,7.1万,8.2,80.4万人评分,1652,全部评论(1.1万),陈尚泽饰 江一东;李萌萌饰 陈心儿;崔心心饰 萧若;田川 (演员)饰 江一俊,极道校园;导演： 明焱;类型： 青春;首映： 2016,简介：一个是叛逆狂妄的的霸道少爷，一个是桀骜不驯的野蛮大小姐，两人因为各自家族的问题被遣返校园进行改造，两人的“浪漫邂逅”却引发了一段让人啼笑皆非的校园浪漫史。
236,http://www.iqiyi.com/v_19rt6wuteg.html,64,7.2,562人评分,612,全部评论(16),丁文博饰 刘文杰;陈菲儿饰 崔佳惠;程雍饰 崔承顺,秘密菜园;导演： 刘中波;地区： 华语;类型： 爱情;首映： 2019,简介：电影《秘密菜园》是一部反应中国当代年轻人爱情和创业的电影，故事讲述一个傲娇的富二代美女爱上一个固执的农二代技术男的曲折而感人的爱情故事。
237,http://www.iqiyi.com/v_19rr7plbvk.html,6.7万,8.3,91.1万人评分,1724,全部评论(3万),李晨饰 吴迪;范冰冰饰 亚莉;王千源饰 凌伟峰;李佳航饰 刘浩辰;赵达饰 乔参谋,空天猎;导演： 李晨;地区： 华语;类型： 动作;首映： 2017,简介：一场空天战场的猎杀传奇。霸天狼，一支神秘的空军顶级团队，每一名飞行员都是“金头盔”级别的王牌飞行员，吴迪、亚莉、巴图、高原通过层层考核，成为了霸天狼秘密基地的一员。可谁也没有想到，吴迪的好友浩辰却在任务中陷入一场境外战乱的阴谋。更大的威胁接踵而至，恐怖势力突发其来的导弹危机和人质危机，空前地挑战着中国空军的实战能力!十万火急之下，最新式的中国战机和最顶级的飞行员，与...收起>
238,http://www.iqiyi.com/v_19rr7pvalw.html,37,7.1,213人评分,472,全部评论(1),雷震主演;乐蒂主演,太极门;导演： 袁秋枫;地区： 香港地区;类型： 动作;首映： 1968,简介：太极宗师之太极门
239,http://www.iqiyi.com/v_19rrn384lk.html,1833,7.3,7044人评分,737,全部评论(54),李德华;李甫姫;权圣德;郑慧善;Mi-bong Mun,吴妻盘儿花;导演： 朴哲洙;地区： 韩国;首映： 1988,简介：花心作家宗焕与咖啡厅漂亮女子秀京相爱并结婚，婚後秀京放弃了咖啡生意，担负起家庭负担。然而，错宗复杂的感情冲突，使宗焕对妻子有了判逆的行为。此时秀京却意外地得了绝症将不久於人世，面寻这突如其来的残酷事实，使宗焕受到重大打击，并痛恨自己的过失行为。他们在最後短暂的日子里更加珍惜，更加难舍难分。她向往著美好的未来，她挣扎，她呼唤：“我现在比任何时候更爱你，我不想离开你，如果...收起>
240,http://www.iqiyi.com/v_19rre40ifc.html,190,7.3,605人评分,786,全部评论(7),Pongsak Pongsuwan饰 Bunteng;Choosak Iamsook饰 Noinong;Nikalaya Dhunlaya饰 Nuenchan;Chookiat Iamsook饰 Nui Choenyeun;Isaree Songcharoen饰 Linchee,金山匪帮;导演： Panich Sodsee;地区： 泰国;类型： 爱情;首映： 2006,简介：登是一名泰国著名的民间剧院的男演员。由于精湛的演技，登成为了剧院的男一号，给剧院获带来了很大的金钱和名誉。就在这时，剧院负责人声称要把剧院变成电影工厂，登和他的伙伴宏对此深感失望，并且强烈反对这个想法，更重要的是女演员婵，登一直以来都很喜欢她，这时候登该如何让抉择呢？收起>
241,http://www.iqiyi.com/v_19rrk45ly0.html,59,6.8,249人评分,622,全部评论(1),梁碧芝饰 麦姬;黄琬婷饰 南生;谭凯欣饰 欣欣;施念慈饰 小诗;谭卫兰饰 东东,五个寂寞的心;导演： 陈果;地区： 华语;类型： 爱情;首映： 1992,"简介：欣欣、小诗、麦姬、南生和东东是5个要好的朋友，一同读书，各人在成长路上各有心事。在暑假期间大家一同到东东在海边小镇的别墅度假,欣欣是个胆子大的女孩,有次在黑夜误闯海边小店的后院,而认识憨憨的阿伟，萌生爱意。东东因哥哥阿Joe认识了混血儿女友而烦恼，一心想拆散他们，弄出不少笑话,南生个性像男孩子,常常呵护东东,其实心里暗恋东东,麦姬是个大家公认的大花痴,常常换男朋友,小诗最大的乐趣....收起>"
242,http://www.iqiyi.com/v_19rro2q4mg.html,44.3万,8.8,157.8万人评分,2307,全部评论(5649),周润发饰 石一坚;张家辉饰 小马;刘嘉玲饰 莫愁,澳门风云2;导演： 王晶;地区： 华语;类型： 动作;首映： 2015,简介：曾经名贯国际赌坦的赌侠“魔术手”石一坚，在半年前协助国际刑警摧毁洗钱集团DOA后便销声匿迹，隐退江湖，整日里和他那台操着四川话的机器人傻强插科打诨，倒也逍遥自在。但是好景不长，某天他险些遭到女杀手刺杀。原来宿敌DOA对其恨之入骨，定欲灭之于无形。除此之外，DOA首席会计师小马卷走组织高达150亿美元的黑金，带着女儿初一逃到泰国。迫不得已，石一坚和担任国际刑警的大弟子阿乐合作，追查...收起>
243,http://www.iqiyi.com/v_19rr7pge9c.html,6.8万,8.1,185.7万人评分,2687,全部评论(3.5万),梁朝伟饰 屠四谷;白百何饰 霍小岚;井柏然饰 宋天荫;李宇春饰 朱金真;杨祐宁饰 云青,捉妖记2;导演： 许诚毅;地区： 香港地区;类型： 奇幻;首映： 2018,简介：上一集与胡巴分别后，天荫带着小岚踏上寻父之路，在义薄云天的天师堂堂主云大哥的帮助下，二人得知天荫父亲宋戴天的护妖轨迹；而重回永宁村的胡巴再度被妖王追杀，颠沛流离逃亡时结识大赌徒屠四谷和一只妖怪，三人一起过着相依为命的生活，但又因屠四谷欠下的巨额赌债横生诸多波折。与此同时，江湖盛传小妖王胡巴的重金悬赏令，妖界大军、天师精英、绿林草莽闻风而动，多方势力为抢夺胡巴在清水镇...收起>
244,http://www.iqiyi.com/v_19rrk33gm0.html,4046,8.8,12.5万人评分,1590,全部评论(666),阿诺德·施瓦辛格饰 Terminator;克里斯塔娜·洛肯饰 T-X;尼克·斯塔尔饰 John Connor;克莱尔·丹妮丝饰 Kate Brewster;蒂莫斯·道灵饰 Gas Station Cashier,终结者3：机器的觉醒;导演： 乔纳森·莫斯托;地区： 美国;类型： 动作;首映： 2003,简介：故事发生在《终结者2》10年之后，终结者又回来了。此时JohnConnor已经22岁，他的母亲去世后，他过着隐姓埋名的生活，不愿意面对即将到来的命运。但是，命运并不以他的意志为转移，“天网”经历了两个失败之后，派出了更为先进的T-X终结者，人类也同样送回了T-800改良后的终结者T-850保护John。John巧遇了儿时的伙伴，兽医KateBrewsterKate的父亲是美国军方...收起>
245,http://www.iqiyi.com/v_19rscb2tsk.html,218,6.8,448人评分,754,全部评论(20),周迅;张信哲,烟雨红颜;导演： 刘德凯;地区： 华语;类型： 爱情;首映： 2002,简介：民国时期战乱的东北，少女赵宁静与远房已有婚约在身的表哥林爽然互生真情，即使知晓情路艰难，两人仍时常于沈阳与抚顺两地奔波，求的仅是多看对方一眼。无奈造化弄人，在两人的过分小心翼翼和他人的恶意破坏下，这段感情以无言悲剧收场。赵宁静伤心之余，任性下嫁她并不爱的富家子熊应生，而此人为防患于未然，恶意陷害林爽然迫使对方失意离开家乡，自此赵宁静与林爽生变作两条并行线。二十多年之...收起>
246,http://www.iqiyi.com/v_19rsdtju6g.html,53,6.9,530人评分,635,全部评论(12),冯伟力饰 林锋;文铭饰 秦磊;景涛饰 高建辉,封口之谜;导演： 徐捷;地区： 华语;类型： 犯罪;首映： 2019,简介：林锋被人打晕，醒来后发现自己被铁链绑在一个废旧的仓库里。一个戴着奇异面具的男人质问林锋：高建辉为什么跳楼自杀？面具男人自称是高建辉的儿子高小攀，他逼林锋说出高建辉死亡的真相。一个个与高建辉相关的人浮出水面。有对高建辉行贿的亲戚、高建辉的情人、高建辉公司的合伙人、高建辉的妻子。林锋还说他偷听到高建辉被一个叫三石的人勒索好几百多万。收起>
247,http://www.iqiyi.com/v_19rrny7s0w.html,159,6.5,934人评分,619,全部评论(7),胡忻;吕凉;丁嘉丽,小芳的故事;导演： 江海洋;地区： 华语;类型： 家庭;首映： 1994,简介：1990年代，陈卫东的妻子曲波波是个女强人，陈自感在家中没地位，终日与小舅子浪浪厮混在一起。忽一日，他想起插队时爱上的小芳姑娘，温柔美丽善解人意，何不将那段经历写首歌呢。于是，一首《小芳》被他灌成盒带发行，唱遍了大街小巷。他把音像出版社付给的稿酬揣在身上，踏上了寻访昔日情人的道路。几经周折，终于见到了当年的小芳。但物是人非，如今的小芳已是华侨林先生的阔太太，这大大出乎陈卫...收起>
248,http://www.iqiyi.com/v_19rqv5njn0.html,2.3万,8.3,25.8万人评分,2834,全部评论(2066),朱诺·坦普尔饰 Thistlewit;Ed Skrein饰 Borra;安吉丽娜·朱莉饰 玛琳菲森;切瓦特·埃加福特饰 Conall;艾丽·范宁饰 奥萝拉公主,沉睡魔咒2;导演： 乔阿吉姆·罗恩尼;地区： 美国;类型： 动作;首映： 2019,简介：《沉睡魔咒》续集将讲述魔女玛琳菲森和将成为女王的爱洛公主关系缓和但依旧复杂，但两人要联手对付新的反派，保护森林王国和那里神奇的动物们。
249,http://www.iqiyi.com/v_19rrj5kq94.html,1.0万,9.2,82.5万人评分,3078,全部评论(829),甄子丹饰 叶问;任达华饰 周清泉;洪金宝饰 洪震南;黄晓明饰 黄粱;熊黛林饰 张永成,叶问2：宗师传奇;导演： 叶伟信;地区： 华语;类型： 动作;首映： 2010,简介：叶问携家眷来到香港，艰难度日。叶问开武馆宣扬咏春拳术，但无人问津。某日，黄梁登门拜访，比武之后，甘愿携一班兄弟，拜在叶问门下。黄梁因故与洪拳门下斗殴，结果被捉。叶问来救，却巧遇昔日对手金山找，两人冰释前嫌，却不想被洪拳掌门洪震南拦下，以致众人被警察拘捕。洪震南提醒叶问，欲在香港开武馆，必须接受各大门派挑战。于是叶问单刀赴会，最终与洪震南对决，不分伯仲，叶问因拒绝缴纳会...收起>
250,http://www.iqiyi.com/v_19rr7pa3dw.html,96,7.0,315人评分,799,全部评论(4),周萱饰 完颜婉儿;乔宏饰 荆无忌,虎山行;导演： 王星磊;地区： 香港地区;类型： 战争;首映： 1969,"简介：于台湾大禹山及宜兰平原等地取景.南宋年间,金兵入侵中原.山东军统帅耿京掳获金亲王格律罕、禁卫军参军厄里多等,金人震惊提出换俘.宋派参军姜尧会京同押金俘渡易水河.出发前,金营指挥完颜庆背信,欲拦途截击.京遂暗召已遁入空门的抗金英雄荆无忌助尧.庆派完颜婉儿、休林刺探忌消息.押俘大队投栈,樵夫借口带路实乘机为金俘解枷,忌发觉杀之,庆助手井段欲杀忌,忌杀退埋伏,尧殉职前命忌负...收起>"
251,http://www.iqiyi.com/v_19rrmy86uo.html,333,7.3,1767人评分,1458,全部评论(32),张国荣饰 忠良;巩俐饰 如意;何赛飞饰 Yu Xiuyi (Zhongliang's Sister),风月;导演： 陈凯歌;地区： 华语;类型： 家庭;首映： 1996,简介：父母双亡的忠良投靠嫁入庞家的姐姐秀仪时，处处受到姐夫的挤兑和侮辱，一怒之下用鸦片毒废了姐夫，逃到上海后，阴差阳错投入黑帮头目大大门下，成为利用色相勾引富家太太上钩再勒索其钱财的“拆白党”。　　庞府老爷死后，大小姐如意被立为主事，为骗庞家财产，大大命忠良回到庞府引诱如意，岂料两人日久生出真情，不忍再欺骗如意的忠良独身返回上海，而如意也被大大接到上海，眼见了忠良所从事的...收起>
252,http://www.iqiyi.com/v_19rrhvy46o.html,61,6.6,134人评分,548,全部评论(1),丹尼斯·利瑞饰 Ray Pluto;伊丽莎白·赫利饰 Dr. Ann Beamer;路易斯·古兹曼饰 Juan Benitez,双重重击;导演： 汤姆·迪西罗;地区： 美国;类型： 犯罪;首映： 2001,简介：一个警探在一家快餐馆中未能阻止一个有自杀倾向的人的大屠杀而深感自责。为此努力恢复自尊和公众形象的故事。
