,href,点赞用户数,评分,参与评分人数,热度,总计评论数,演员,信息,剧情
10,http://www.iqiyi.com/v_19rra5qi8w.html,2.2万,7.1,17.6万人评分,3698,全部评论(2142),马特·达蒙;玛丽昂·歌迪亚;格温妮斯·帕特洛;凯特·温丝莱特,传染病;导演： 史蒂文·索德伯格;地区： 美国;类型： 惊悚;首映： 2011,简介：影片讲述了一种新型致命病毒在几天之内席卷全球的故事。贝丝从香港出差回明尼阿波利斯的家后突发疾病死亡，丈夫托马斯协助Dr.ErinMears调查真相。可怕的是同样病症的患者在世界范围内大规模出现，病毒在不停蔓延。阴谋论记者阿伦趁机散布对政府和医疗机构不利的舆论。Dr.LeonoraOrantes被派往香港调查病因，但却被本土医生扣留作为交换疫苗的人质。在Dr.EllisCheever和年轻医生AllyHextall...收起>
11,http://www.iqiyi.com/v_19rrc1di2c.html,4.2万,8.6,63.6万人评分,5673,全部评论(5099),甄子丹饰 叶问;吴樾饰 万宗华;吴建豪饰 赫文;斯科特·阿金斯饰 巴顿;李宛妲饰 若男,叶问4：完结篇;导演： 叶伟信;地区： 香港地区;类型： 动作;首映： 2019,简介：因故来到美国唐人街的叶问，意外卷入一场当地军方势力与华人武馆的纠纷，面对日益猖狂的民族歧视与压迫，叶问挺身而出，在美国海军陆战队军营拼死一战，以正宗咏春，向世界证明了中国功夫。收起>
12,http://www.iqiyi.com/v_19rrmjocj0.html,4.2万,8.0,38.9万人评分,2734,全部评论(1957),马东锡;安道奎;金贤秀,杀人者;导演： 李基郁;地区： 韩国;类型： 惊悚;首映： 2014,简介：有多条人命在身的连环杀人魔朱宪，隐藏起杀人本能与儿子在乡下安静的生活，不了却被儿子的朋友发现其真面目。杀人本能被少女再次唤醒的朱宪将如何应对，少女的命运将如何，朱宪又将何去何从？收起>
13,http://www.iqiyi.com/v_19rtshvm5w.html,4.8万,6.4,89万人评分,3251,全部评论(1.3万),陈浩民饰 姜子牙;牛泽萌饰 青鸾;杜煜峰饰 张石头,新封神姜子牙;导演： 钟未溪 / 羊帅;地区： 华语;类型： 魔幻;首映： 2019,简介：因犯仙规，被贬凡间的姜子牙，在人间以凡人之躯帮助少女青鸾前往封神陵寻找打神鞭，在拯救如意村的同时，最终感悟人间大爱的含义，完成自我救赎，重获法力，打败河神！
14,http://www.iqiyi.com/v_19rumnl320.html,5.3万,8.5,156.5万人评分,3383,全部评论(2997),古天乐饰 汪新元;宣萱主演;张继聪饰 林法梁;谭耀文主演;姜皓文主演,犯罪现场;导演： 冯志强;地区： 香港地区;类型： 惊悚;首映： 2019,简介：以通缉犯徐糠伏尸屋事件开始，负责调查的警官林法栋发现涉及一宗一个月前的劫案，当中同谋包括汪新元、红毛与欧阳，而犯罪现场唯一目击证人是一只鹦鹉，林法栋锁定汪新元为嫌犯。不过案情卻不如想像中直接…收起>
15,http://www.iqiyi.com/v_19rrbrdcz0.html,9.0万,7.6,311.3万人评分,3741,全部评论(3万),吴孟达饰 长眉师父;郝劭文饰 小文师兄;宋小宝饰 宝师傅;王宁饰 阿威,新乌龙院之笑闹江湖;导演： 朱延平;类型： 动作;首映： 2018,简介：取材自敖幼祥的经典漫画IP《乌龙院》。讲述了乌龙院又到新一年招生季，一心想要当坏人的阿威和想要“学坏”的程明星潜入到乌龙院，想要偷师学艺并肩负秘密使命。二人为了骗取了长眉师父的信任，与小文师兄、大师兄、阳光、“蛇蝎美人小师姐”蕊蕊等一众徒弟在乌龙院内发生了一系列啼笑皆非的乌龙囧事，随着神秘女子的出现，斗智斗勇的荒唐囧事也即将发生。收起>
16,http://www.iqiyi.com/v_19rr7qcgfc.html,4873,8.0,8.3万人评分,2881,全部评论(271),任达华饰 骆祥富;安志杰饰 骆小牛;卢惠光饰 骆永雄;林雪饰 黄律师;熊欣欣饰 骆永刚,灭门;导演： 罗守耀;地区： 香港地区;类型： 惊悚;首映： 2010,简介：香港社团“同联顺”众成员赴大陆购买制作伪钞所用电版，归程时其当家骆祥安为公安捉获，并最终被执行死刑，一时间骆氏遗产的分配成社团中骨干阿富、阿雄等人瞩目的焦点。岂料在黄律师主持下，遗产尽归骆祥安妻弟丽萍、骆祥福所有。阿富等人大感不平，各怀鬼胎，而骆家庶出的儿子阿牛却对这一切看似漠不关心，每日只与哑妹苦练搏击。不久，黄律师意外身亡，接着骆祥富也死于汽车炸弹，为避免死于遗产...收起>
17,http://www.iqiyi.com/v_19rsfjt0l4.html,6.1万,8.8,169.7万人评分,4093,全部评论(6143),于和伟饰 高铭;吴磊饰 陈乐云;张子枫饰 江楠;钟汉良饰 李响;杨子姗饰 曲飞飞,宠爱;导演： 杨子;地区： 华语;类型： 喜剧;首映： 2019,简介：　电影《宠爱》共由6段温暖的故事组成，不同年龄段的人们，在宠物的陪伴和守护中，收获爱、发现爱，更重新学会爱。在“爱”的主线下，一系列关于亲情、友情、爱情的故事逐一展开……
18,http://www.iqiyi.com/v_19rr0xafmg.html,7.4万,8.7,601.3万人评分,3383,全部评论(1.4万),甄子丹饰 陈侠;陈乔恩主演;喻亢主演;汤君慈主演;汤君耀主演,大师兄;导演： 阚家伟;地区： 香港地区;类型： 动作;首映： 2018,简介：陈侠，一位初出茅庐的教师，他的学生全是品学皆劣的边缘青年，陈侠运用非常教学的手法，从家访、投其所好、甚至修补各人的家庭关系，化解每位学生的问题，最终把全班学生收服!一切向好之际，陈侠遇到黑道人物鹰哥，为了学生，陈侠跟鹰哥展开一场守护学生前途的终极大战!收起>
19,http://www.iqiyi.com/v_19rre83m48.html,4.1万,7.3,178.5万人评分,2996,全部评论(9128),徐冬冬饰 左兰;伍允龙饰 陈杰;张锦程饰 罪哥,大嫂;导演： 阚家伟;地区： 华语;类型： 枪战;首映： 2017,简介：1971年的香港——那是英国人殖民的时代，他们压榨老百姓，驱使华人警员为他们集体贪污，百姓过着苦难的日子。机场附近有一个区域——九龙寨，成为不平等条约中的灰色地带，此处藏污纳垢，故事就发生在这样一个罪恶之城。收起>
